timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1494830209900,3723,41 /,200,OK,bp03 3-1,text,true,,27827,980,1,10,45,0,23
1494830209572,3723,bp03s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp03 3-1,,true,,27827,980,1,10,45,337,23
1494830209900,4421,1 /,200,OK,bp01 1-1,text,true,,27461,464,1,10,4408,0,143
1494830209900,5206,4 /,200,OK,bp02 2-1,text,true,,27846,928,1,10,62,0,23
1494830209970,5504,13 /,200,OK,bp08 8-1,text,true,,27847,928,1,10,42,0,14
1494830209667,5504,bp08s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,27847,928,1,10,42,303,14
1494830209970,5536,87 /,200,OK,bp07 7-1,text,true,,27452,468,1,10,5524,0,133
1494830209664,5536,bp07s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,27452,468,1,10,5524,307,133
1494830209954,5759,17 /,200,OK,bp05 5-1,text,true,,27835,930,1,10,39,0,17
1494830209650,5759,bp05s1 ,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,27835,930,1,10,39,305,17
1494830209900,6038,17 /,200,OK,bp04 4-1,text,true,,27842,1140,1,10,52,0,23
1494830209590,6038,bp04s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp04 4-1,,true,,27842,1140,1,10,52,310,23
1494830209970,6070,4 /,200,OK,bp06 6-1,text,true,,27845,928,1,10,89,0,14
1494830209986,6150,27 /,200,OK,bp10 10-1,text,true,,10393,904,1,10,3866,0,2
1494830216241,24,BeanShell Sampler,200,OK,bp04 4-1,text,true,,0,0,1,10,0,0,0
1494830209970,6429,13 /,200,OK,bp09 9-1,text,true,,27843,928,1,10,88,0,14
1494830209673,6429,bp09s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,27843,928,1,10,88,297,14
1494830216444,8,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 10-1,text,true,,1528,412,1,10,8,0,2
1494830216756,17,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 10-1,text,true,,61813,440,1,10,12,0,0
1494830213932,3052,46 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp03 3-1,text,true,,3236,1839,1,10,1512,0,15
1494830217083,9,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 10-1,text,true,,6313,429,1,10,9,0,0
1494830217395,237,34 /visualid/lib/font-awesome/font-awesome.4.latest.css,200,OK,bp10 10-1,text,true,,37872,452,1,10,97,0,48
1494830215804,1850,89 /international-students,200,OK,bp07 7-1,text,true,,33853,547,1,10,1837,0,33
1494830215506,1850,bp07s3,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,33853,547,1,10,1837,298,33
1494830217941,13,36 /assets/r-772E2629E969026E53EBA20227688FD7/uwaJs.js,200,OK,bp10 10-1,text,true,,102671,423,1,10,7,0,0
1494830218253,4,37 /assets/dist/images/logo-full-hor-rev.png,200,OK,bp10 10-1,bin,true,,5430,438,1,10,4,0,0
1494830214633,4172,3 /,200,OK,bp01 1-1,text,true,,27412,1408,1,10,2237,0,15
1494830209568,8593,bp01s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp01 1-1,,true,,54873,1872,1,10,6645,644,158
1494830215413,3398,5 /,200,OK,bp02 2-1,text,true,,27414,1408,1,10,1457,0,14
1494830209568,8604,bp02s0A,200,"Number of samples in transaction : 2, number of failing samples : 0",bp02 2-1,,true,,55260,2336,1,10,1519,639,37
1494830218565,350,40 /assets/dist/images/main-strokes.jpg,200,OK,bp10 10-1,bin,true,,878458,485,1,10,312,0,3
1494830219221,150,39 /gtm.js,200,OK,bp10 10-1,text,true,,39634,338,1,10,139,0,2
1494830219673,6,42 /assets/dist/fonts/glyphicons-halflings-regular.woff,200,OK,bp10 10-1,text,true,,23804,507,1,10,6,0,0
1494830216023,3786,20 /Events/Open-day,200,OK,bp05 5-1,text,true,,16432,1072,1,10,1549,0,14
1494830215714,3786,bp05s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,16432,1072,1,10,1549,309,14
