timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1494467982766,1733,27 /,200,OK,bp10 10-1,text,true,,10393,904,1,10,234,0,4
1494467984809,7,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 10-1,text,true,,1528,412,1,10,7,0,2
1494467982766,2240,4 /,200,OK,bp06 6-1,text,true,,23174,928,1,10,635,0,620
1494467982751,2263,17 /,200,OK,bp05 5-1,text,true,,23179,930,1,10,650,0,635
1494467982448,2263,bp05s1 ,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,23179,930,1,10,650,304,635
1494467982712,2324,1 /,200,OK,bp01 1-1,text,true,,22778,464,1,10,2307,0,768
1494467985121,6,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 10-1,text,true,,61813,440,1,10,3,0,0
1494467982766,2588,13 /,200,OK,bp09 9-1,text,true,,23179,928,1,10,635,0,620
1494467982465,2588,bp09s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,23179,928,1,10,635,302,620
1494467985433,4,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 10-1,text,true,,6312,429,1,10,4,0,0
1494467982766,2738,13 /,200,OK,bp08 8-1,text,true,,23169,928,1,10,635,0,620
1494467982460,2738,bp08s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,23169,928,1,10,635,306,620
1494467982712,2884,17 /,200,OK,bp04 4-1,text,true,,23174,1140,1,10,689,0,674
1494467982404,2884,bp04s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp04 4-1,,true,,23174,1140,1,10,689,309,674
1494467985323,566,20 /Events/Open-day,200,OK,bp05 5-1,text,true,,16204,1072,1,10,143,0,16
1494467985014,566,bp05s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,16204,1072,1,10,143,310,16
1494467985900,24,BeanShell Sampler,200,OK,bp04 4-1,text,true,,0,0,1,10,0,0,0
1494467985745,236,34 /visualid/lib/font-awesome/font-awesome.4.latest.css,200,OK,bp10 10-1,text,true,,37872,452,1,10,97,0,48
1494467986291,14,36 /assets/r-772E2629E969026E53EBA20227688FD7/uwaJs.js,200,OK,bp10 10-1,text,true,,102671,423,1,10,10,0,0
1494467982712,3615,41 /,200,OK,bp03 3-1,text,true,,23168,980,1,10,689,0,674
1494467982390,3615,bp03s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp03 3-1,,true,,23168,980,1,10,689,323,674
1494467982712,3694,4 /,200,OK,bp02 2-1,text,true,,23169,928,1,10,689,0,674
1494467986603,3,37 /assets/dist/images/logo-full-hor-rev.png,200,OK,bp10 10-1,bin,true,,5430,438,1,10,3,0,0
1494467985308,1518,5 /,200,OK,bp06 6-1,text,true,,23172,928,1,10,52,0,21
1494467982455,3758,bp06s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp06 6-1,,true,,46346,1856,1,10,687,614,641
1494467985341,1526,3 /,200,OK,bp01 1-1,text,true,,22726,1408,1,10,142,0,17
1494467982388,3850,bp01s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp01 1-1,,true,,45504,1872,1,10,2449,630,785
1494467982766,4227,87 /,200,OK,bp07 7-1,text,true,,22777,468,1,10,4227,0,287
1494467982458,4227,bp07s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,22777,468,1,10,4227,309,287
1494467986915,146,40 /assets/dist/images/main-strokes.jpg,200,OK,bp10 10-1,bin,true,,878458,485,1,10,110,0,2
1494467987342,152,39 /gtm.js,200,OK,bp10 10-1,text,true,,39568,338,1,10,141,0,2
1494467987804,5,42 /assets/dist/fonts/glyphicons-halflings-regular.woff,200,OK,bp10 10-1,text,true,,23804,507,1,10,4,0,0
1494467988116,5,43 /assets/dist/fonts/uwa-icon-font/uwa-icon-font.woff,200,OK,bp10 10-1,text,true,,10646,506,1,10,5,0,0
1494467985667,2504,22 /find-a-course,200,OK,bp09 9-1,text,true,,44075,1014,1,10,38,0,17
1494467985359,2504,bp09s2,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,44075,1014,1,10,38,308,17
1494467985807,2540,22 /find-a-course,200,OK,bp08 8-1,text,true,,32531,1016,1,10,600,0,14
1494467985504,2540,bp08s2,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,32531,1016,1,10,600,304,14
1494467988428,6,45 /analytics/1489393800000/2102409.js,200,OK,bp10 10-1,text,true,,21357,412,1,10,6,0,3
1494467986197,2465,21 /,200,OK,bp05 5-1,text,true,,23166,1062,1,10,334,0,0
1494467985890,2465,bp05s5,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,23166,1062,1,10,334,307,0
1494467982448,5294,bp05,200,"Number of samples in transaction : 5, number of failing samples : 0",bp05 5-1,,true,,62549,3064,1,10,1127,921,651
1494467986634,2092,46 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp03 3-1,text,true,,3239,1839,1,10,1687,0,16
1494467988740,97,46 /devices/uwamenu-sitemap-cache.php,200,OK,bp10 10-1,text,true,,236,391,1,10,97,0,47
1494467989145,13,48 /assets/dist/images/indigenous-row.jpg,200,OK,bp10 10-1,bin,true,,125837,487,1,10,7,0,2
1494467989468,4,49 /assets/dist/images/footer-go8.png,200,OK,bp10 10-1,bin,true,,2480,483,1,10,4,0,0
1494467987279,2281,89 /international-students,200,OK,bp07 7-1,text,true,,36073,547,1,10,2252,0,47
1494467986993,2281,bp07s3,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,36073,547,1,10,2252,286,47
1494467986228,3367,?typeOfSearch=course&term=e&json=true,200,OK,bp04 4-1,text,true,,90934,356,1,10,597,0,17
1494467989780,4,50 /assets/dist/images/footer-social-conversation.png,200,OK,bp10 10-1,bin,true,,2119,499,1,10,4,0,0
1494467990092,8,51 /assets/dist/images/svg/logo-full-hor-rev.svg,200,OK,bp10 10-1,bin,true,,8981,494,1,10,8,0,0
1494467986712,3379,5 /,200,OK,bp02 2-1,text,true,,22737,1408,1,10,1609,0,19
1494467982389,7073,bp02s0A,200,"Number of samples in transaction : 2, number of failing samples : 0",bp02 2-1,,true,,45906,2336,1,10,2298,630,693
1494467990406,7,52 /assets/dist/images/footer-art-alt.png,200,OK,bp10 10-1,bin,true,,15066,487,1,10,7,0,0
1494467990716,48,41 /-/media/images/carousels/corporate/home/homepage-hero-graduation.jpg,200,OK,bp10 10-1,bin,true,,209705,466,1,10,37,0,0
1494467987164,3656,8 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp01 1-1,text,true,,568,1154,1,10,3656,0,0
1494467989890,1012,90 /international-students/life-in-perth,200,OK,bp07 7-1,text,true,,24728,583,1,10,999,0,125
1494467989571,1012,bp07s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,24728,583,1,10,999,320,125
1494467991049,3,53 /assets/dist/images/bx_loader.gif,200,OK,bp10 10-1,bin,true,,7064,482,1,10,3,0,0
1494467991353,124,54 /bat.js,200,OK,bp10 10-1,text,true,,4102,377,1,10,124,0,3
1494467988475,3362,23 /courses/Doctor-of-Clinical-Dentistry,200,OK,bp09 9-1,text,true,,30503,1178,1,10,978,0,16
1494467991778,124,56 /action/0,204,No Content,bp10 10-1,,true,,538,557,1,10,0,0,0
1494467987134,4924,9 /find-a-course,200,OK,bp06 6-1,text,true,,42043,1030,1,10,1478,0,0
1494467986826,4924,bp06s2,200,"Number of samples in transaction : 1, number of failing samples : 0",bp06 6-1,,true,,42043,1030,1,10,1478,308,0
1494467991203,997,91 /international-students,200,OK,bp07 7-1,text,true,,36070,578,1,10,978,0,0
1494467990903,997,bp07s5,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,36070,578,1,10,978,301,0
1494467992203,291,59 /action-uic/0,204,No Content,bp10 10-1,,true,,446,562,1,10,0,0,145
1494467990406,2445,9 /find-a-course,200,OK,bp02 2-1,text,true,,19320,1532,1,10,137,0,20
1494467990102,2445,bp02s0B,200,"Number of samples in transaction : 1, number of failing samples : 0",bp02 2-1,,true,,19320,1532,1,10,137,304,20
1494467992501,385,92 /international-students/moving-to-perth,200,OK,bp07 7-1,text,true,,19006,585,1,10,371,0,38
1494467992201,385,bp07s6,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,19006,585,1,10,371,301,38
1494467989921,3093,?typeOfSearch=course&term=en&json=true,200,OK,bp04 4-1,text,true,,90941,358,1,10,440,0,14
1494467992794,267,57 /activityi;src=5061140;type=basem0;cat=uwa-a0;ord=110503073462;~oref=http%3A%2F%2Fwww.uwa.edu.au%2F,200,OK,bp10 10-1,text,true,,1681,1204,1,10,133,0,2
1494467992137,1111,25 /72/60/cost,200,OK,bp09 9-1,bin,true,,2972,448,1,10,1111,0,6
1494467988171,4473,bp09s3,200,"Number of samples in transaction : 2, number of failing samples : 0",bp09 9-1,,true,,33475,1626,1,10,2089,594,22
1494467993361,540,61 /layouts/system/VisitorIdentificationCSS.aspx,200,OK,bp10 10-1,text,true,,827,381,1,10,540,0,2
1494467991132,2778,9 /Dashboard,200,OK,bp01 1-1,text,true,,15205,1077,1,10,2778,0,193
1494467986867,6434,bp01s3,200,"Number of samples in transaction : 2, number of failing samples : 0",bp01 1-1,,true,,15773,2231,1,10,6434,599,193
1494467993187,1103,93 /international-students,200,OK,bp07 7-1,text,true,,36067,580,1,10,1084,0,0
1494467992887,1103,bp07s7,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,36067,580,1,10,1084,300,0
1494467994202,473,63 /__ptq.gif,200,OK,bp10 10-1,bin,true,,319,637,1,10,473,0,234
1494467982468,4321,bp10s1,200,"Number of samples in transaction : 26, number of failing samples : 0",bp10 10-1,,true,,1579253,13253,1,10,2061,7877,496
1494467982468,4320,bp10,200,"Number of samples in transaction : 26, number of failing samples : 0",bp10 10-1,,true,,1579253,13253,1,10,2061,7878,496
1494467992370,3713,10 /courses/Doctor-of-Clinical-Dentistry,200,OK,bp06 6-1,text,true,,30530,1206,1,10,1590,0,14
1494467992069,3713,bp06s3,200,"Number of samples in transaction : 1, number of failing samples : 0",bp06 6-1,,true,,30530,1206,1,10,1590,302,14
1494467994613,1575,94 /international-students/fees-and-scholarships,200,OK,bp07 7-1,text,true,,28822,591,1,10,1557,0,32
1494467994290,1575,bp07s8,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,28822,591,1,10,1557,301,32
1494467989036,7568,47 /Dashboard,200,OK,bp03 3-1,text,true,,92488,2298,1,10,494,0,14
1494467993314,4008,?typeOfSearch=course&term=eng&json=true,200,OK,bp04 4-1,text,true,,90946,360,1,10,646,0,14
1494467996489,996,95 /international-students,200,OK,bp07 7-1,text,true,,36071,586,1,10,977,0,0
1494467996189,996,bp07s9,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,36071,586,1,10,977,300,0
1494467997785,519,96 /international-students/moving-to-perth/student-visas,200,OK,bp07 7-1,text,true,,17257,599,1,10,519,0,38
1494467997485,519,bp07s10,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,17257,599,1,10,519,301,38
1494467993549,5159,22 /find-a-course,200,OK,bp09 9-1,text,true,,44058,1014,1,10,578,0,17
1494467993249,5159,bp09s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,44058,1014,1,10,578,301,17
