timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1494573895456,4626,1 /,200,OK,bp01 1-1,text,true,,22557,448,1,10,4440,0,1520
1494573895487,5305,17 /,200,OK,bp04 4-1,text,true,,23112,1013,1,10,1750,0,968
1494573895175,5305,bp04s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp04 4-1,,true,,23112,1013,1,10,1750,313,968
1494573895456,5456,4 /,200,OK,bp02 2-1,text,true,,23116,766,1,10,1786,0,1001
1494573895518,5416,87 /,200,OK,bp07 7-1,text,true,,27454,403,1,10,5266,0,3223
1494573895216,5416,bp07s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,27454,403,1,10,5266,303,3223
1494573895518,5445,4 /,200,OK,bp06 6-1,text,true,,23109,766,1,10,1755,0,942
1494573895518,5453,13 /,200,OK,bp08 8-1,text,true,,23128,766,1,10,1651,0,942
1494573895216,5453,bp08s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,23128,766,1,10,1651,302,942
1494573895471,5501,41 /,200,OK,bp03 3-1,text,true,,23117,818,1,10,1601,0,984
1494573895160,5501,bp03s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp03 3-1,,true,,23117,818,1,10,1601,312,984
1494573895518,5539,13 /,200,OK,bp09 9-1,text,true,,23110,766,1,10,1660,0,940
1494573895219,5539,bp09s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,23110,766,1,10,1660,300,940
1494573901102,3,BeanShell Sampler,200,OK,bp04 4-1,text,true,,0,0,1,10,0,0,0
1494573895518,5687,17 /,200,OK,bp05 5-1,text,true,,23123,768,1,10,1676,0,939
1494573895211,5688,bp05s1 ,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,23123,768,1,10,1676,307,939
1494573895518,6168,27 /,200,OK,bp10 10-1,text,true,,10387,774,1,10,3717,0,3153
1494573901243,1220,89 /international-students,200,OK,bp07 7-1,text,true,,33857,482,1,10,1219,0,302
1494573900935,1220,bp07s3,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,33857,482,1,10,1219,308,302
1494573901274,1781,46 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp03 3-1,text,true,,2953,1561,1,10,459,0,154
1494573902772,558,90 /international-students/life-in-perth,200,OK,bp07 7-1,text,true,,24955,518,1,10,558,0,0
1494573902463,558,bp07s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,24955,518,1,10,558,310,0
1494573901508,2594,20 /Events/Open-day,200,OK,bp05 5-1,text,true,,14398,880,1,10,613,0,154
1494573901206,2594,bp05s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,14398,880,1,10,613,303,154
1494573901212,3257,5 /,200,OK,bp02 2-1,text,true,,22532,1060,1,10,544,0,153
1494573895157,8713,bp02s0A,200,"Number of samples in transaction : 2, number of failing samples : 0",bp02 2-1,,true,,45648,1826,1,10,2330,599,1154
1494573900385,4232,3 /,200,OK,bp01 1-1,text,true,,23116,1006,1,10,459,0,153
1494573895158,8858,bp01s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp01 1-1,,true,,45673,1454,1,10,4899,602,1673
1494573903630,1156,91 /international-students,200,OK,bp07 7-1,text,true,,33843,518,1,10,1005,0,303
1494573903331,1156,bp07s5,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,33843,518,1,10,1005,299,303
1494573901274,3573,5 /,200,OK,bp06 6-1,text,true,,23090,766,1,10,485,0,157
1494573895214,9018,bp06s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp06 6-1,,true,,46199,1532,1,10,2240,615,1099
1494573901368,3553,22 /find-a-course,200,OK,bp09 9-1,text,true,,36057,952,1,10,620,0,159
1494573901058,3553,bp09s2,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,36057,952,1,10,620,311,159
1494573901992,3100,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 10-1,text,true,,1528,347,1,10,3100,0,2834
1494573901415,3840,?typeOfSearch=course&term=e&json=true,200,OK,bp04 4-1,text,true,,112961,324,1,10,613,0,156
1494573901274,4030,22 /find-a-course,200,OK,bp08 8-1,text,true,,27268,954,1,10,745,0,159
